# V18 扩展训练句 (自动生成, 600句)
# 格式: 编号 | 词:角色 词:角色 ...

1|作家:subj 交:verb 法律:obj
2|作家:subj 交:verb 网络:obj
3|作家:subj 修:verb 文学:obj
4|作家:subj 关:verb
5|作家:subj 关:verb 历史:obj
6|作家:subj 关:verb 城市:obj
7|作家:subj 写:verb 药品:obj
8|作家:subj 写:verb 蔬菜:obj
9|作家:subj 吃:verb 网络:obj
10|作家:subj 唱:verb 桥梁:obj
11|作家:subj 唱:verb 药品:obj
12|作家:subj 学:verb
13|作家:subj 帮:verb 法律:obj
14|作家:subj 开:verb 知识:obj
15|作家:subj 扫:verb 化学:obj
16|作家:subj 扫:verb 硬件:obj
17|作家:subj 扫:verb 网络:obj
18|作家:subj 找:verb 数学:obj
19|作家:subj 拉:verb 法律:obj
20|作家:subj 拉:verb 系统:obj
21|作家:subj 教:verb
22|作家:subj 用:verb 医学:obj
23|作家:subj 画:verb
24|作家:subj 画:verb 药品:obj
25|作家:subj 算:verb 化学:obj
26|作家:subj 算:verb 电影:obj
27|作家:subj 算:verb 知识:obj
28|作家:subj 算:verb 音乐:obj
29|作家:subj 给:verb 文学:obj
30|作家:subj 记:verb 硬件:obj
31|作家:subj 记:verb 系统:obj
32|作家:subj 记:verb 音乐:obj
33|作家:subj 讲:verb 药品:obj
34|作家:subj 读:verb 桥梁:obj
35|作家:subj 读:verb 蔬菜:obj
36|作家:subj 读:verb 道路:obj
37|作家:subj 送:verb 化学:obj
38|作家:subj 送:verb 软件:obj
39|作家:subj 问:verb 硬件:obj
40|作家:subj 问:verb 经济:obj
41|作家:subj 问:verb 道路:obj
42|医生:subj 交:verb 法律:obj
43|医生:subj 交:verb 艺术:obj
44|医生:subj 修:verb
45|医生:subj 修:verb 桥梁:obj
46|医生:subj 修:verb 蔬菜:obj
47|医生:subj 关:verb 地理:obj
48|医生:subj 关:verb 法律:obj
49|医生:subj 养:verb 数学:obj
50|医生:subj 养:verb 硬件:obj
51|医生:subj 写:verb
52|医生:subj 写:verb 医学:obj
53|医生:subj 写:verb 音乐:obj
54|医生:subj 吃:verb 地理:obj
55|医生:subj 唱:verb 法律:obj
56|医生:subj 唱:verb 硬件:obj
57|医生:subj 唱:verb 科学:obj
58|医生:subj 学:verb
59|医生:subj 学:verb 数学:obj
60|医生:subj 建:verb 电影:obj
61|医生:subj 扫:verb
62|医生:subj 扫:verb 法律:obj
63|医生:subj 找:verb
64|医生:subj 找:verb 化学:obj
65|医生:subj 拉:verb
66|医生:subj 拉:verb 法律:obj
67|医生:subj 拉:verb 硬件:obj
68|医生:subj 拍:verb 软件:obj
69|医生:subj 教:verb 物理:obj
70|医生:subj 给:verb 化学:obj
71|医生:subj 讲:verb 物理:obj
72|医生:subj 讲:verb 知识:obj
73|医生:subj 读:verb 地理:obj
74|医生:subj 读:verb 系统:obj
75|医生:subj 跳:verb
76|医生:subj 送:verb 地理:obj
77|医生:subj 送:verb 药品:obj
78|医生:subj 问:verb
79|医生:subj 问:verb 经济:obj
80|司机:subj 修:verb 音乐:obj
81|司机:subj 养:verb 蔬菜:obj
82|司机:subj 写:verb
83|司机:subj 写:verb 生物:obj
84|司机:subj 吃:verb
85|司机:subj 吃:verb 物理:obj
86|司机:subj 学:verb 药品:obj
87|司机:subj 建:verb
88|司机:subj 开:verb 数据:obj
89|司机:subj 开:verb 网络:obj
90|司机:subj 开:verb 蔬菜:obj
91|司机:subj 扫:verb 药品:obj
92|司机:subj 拉:verb
93|司机:subj 拉:verb 文学:obj
94|司机:subj 教:verb 地理:obj
95|司机:subj 用:verb 地理:obj
96|司机:subj 画:verb 房屋:obj
97|司机:subj 给:verb 数学:obj
98|司机:subj 给:verb 物理:obj
99|司机:subj 记:verb
100|司机:subj 记:verb 医学:obj
101|司机:subj 记:verb 系统:obj
102|司机:subj 讲:verb 生物:obj
103|司机:subj 跳:verb
104|司机:subj 送:verb 知识:obj
105|司机:subj 问:verb 地理:obj
106|同事:subj 买:verb
107|同事:subj 买:verb 电影:obj
108|同事:subj 买:verb 系统:obj
109|同事:subj 修:verb
110|同事:subj 修:verb 房屋:obj
111|同事:subj 修:verb 数据:obj
112|同事:subj 修:verb 物理:obj
113|同事:subj 关:verb
114|同事:subj 关:verb 医学:obj
115|同事:subj 关:verb 历史:obj
116|同事:subj 关:verb 数据:obj
117|同事:subj 养:verb 文学:obj
118|同事:subj 养:verb 科学:obj
119|同事:subj 写:verb 房屋:obj
120|同事:subj 写:verb 数学:obj
121|同事:subj 吃:verb 桥梁:obj
122|同事:subj 唱:verb 物理:obj
123|同事:subj 学:verb
124|同事:subj 帮:verb 地理:obj
125|同事:subj 帮:verb 数据:obj
126|同事:subj 建:verb 桥梁:obj
127|同事:subj 建:verb 硬件:obj
128|同事:subj 开:verb
129|同事:subj 开:verb 知识:obj
130|同事:subj 扫:verb 药品:obj
131|同事:subj 找:verb 电池:obj
132|同事:subj 拉:verb 数据:obj
133|同事:subj 拉:verb 经济:obj
134|同事:subj 拉:verb 蔬菜:obj
135|同事:subj 拍:verb 软件:obj
136|同事:subj 教:verb 生物:obj
137|同事:subj 用:verb 道路:obj
138|同事:subj 画:verb 艺术:obj
139|同事:subj 算:verb 化学:obj
140|同事:subj 算:verb 艺术:obj
141|同事:subj 算:verb 道路:obj
142|同事:subj 给:verb
143|同事:subj 记:verb 医学:obj
144|同事:subj 讲:verb
145|同事:subj 讲:verb 艺术:obj
146|同事:subj 读:verb
