# V18 4000句训练数据 (自动生成)
# 格式: 编号 | 词:角色 词:角色 ...

1000|器官:subj 关闭:verb 面子:obj
1001|成员:subj 打击:verb 银子:obj
1002|念头:subj 写下:verb 暗器:obj
1003|理性:subj 看出:verb 粒子:obj
1004|黑人:subj 拉开:verb 儒家:obj
1005|村子:subj 关注:verb 众人:obj
1006|回家:subj 打着:verb 植物:obj
1007|动手:subj 开展:verb 立体:obj
1008|房子:subj 开采:verb 男子:obj
1009|胡子:subj 推翻:verb 两家:obj
100|习性:subj 走上:verb 演员:obj
1010|医生:subj 看来:verb 刊物:obj
1011|他家:subj 关心:verb 亲兵:obj
1012|读者:subj 走廊:verb 平民:obj
1013|有机:subj 开设:verb 镇长:obj
1014|嫂子:subj 走近:verb 长子:obj
1015|学生:subj 说话:verb 鼻子:obj
1016|男子:subj 关联:verb 仪器:obj
1017|总体:subj 说法:verb 总兵:obj
1018|朋友:subj 关注:verb 新生:obj
1019|员工:subj 吃饭:verb 暗器:obj
101|好生:subj 开设:verb 军民:obj
1020|手机:subj 打出:verb 网友:obj
1021|杀人:subj 开始:verb 双手:obj
1022|军人:subj 拉开:verb 团长:obj
1023|官员:subj 跳槽:verb 嗓子:obj
1024|亲人:subj 学科:verb 下手:obj
1025|这家:subj 打开:verb 大家:obj
1026|加工:subj 看法:verb 部长:obj
1027|总长:subj 开辟:verb 穷人:obj
1028|县长:subj 打扮:verb 念头:obj
1029|下手:subj 打发:verb 人工:obj
102|脖子:subj 学会:verb 人员:obj
1030|石头:subj 关于:verb 日子:obj
1031|急性:subj 打出:verb 地主:obj
1032|集体:subj 听听:verb 女子:obj
1033|原子:subj 走私:verb 出兵:obj
1034|肚子:subj 走路:verb 病人:obj
1035|胖子:subj 抓住:verb 物体:obj
1036|嫂子:subj 学生:verb 土家:obj
1037|有人:subj 学士:verb 儒家:obj
1038|君主:subj 说出:verb 学者:obj
1039|挥手:subj 开工:verb 群体:obj
103|委员:subj 说法:verb 小子:obj
1040|药物:subj 走进:verb 架子:obj
1041|陌生:subj 说道:verb 这家:obj
1042|回头:subj 打破:verb 个性:obj
1043|专家:subj 打着:verb 成长:obj
1044|莲子:subj 说起:verb 笔者:obj
1045|骨头:subj 关心:verb 机器:obj
1046|例子:subj 看作:verb 教师:obj
1047|椅子:subj 开展:verb 卫生:obj
1048|男人:subj 开来:verb 额头:obj
1049|议员:subj 看过:verb 局长:obj
104|选手:subj 拿出:verb 分工:obj
1050|父子:subj 开口:verb 君子:obj
1051|文人:subj 看成:verb 团长:obj
1052|首长:subj 开来:verb 总兵:obj
1053|仆人:subj 喝酒:verb 议员:obj
1054|王家:subj 关心:verb 孩子:obj
1055|党员:subj 听说:verb 殖民:obj
1056|专家:subj 说话:verb 一体:obj
1057|军官:subj 打击:verb 随手:obj
1058|胆子:subj 说来:verb 个性:obj
