# P7 QA training data (100 pairs)
老师 帮 什么|老师 帮 音乐
农民 吃 什么时候|农民 明天 吃
学生 教 病人 吗|学生 教 病人
朋友 做 什么时候|朋友 明天 做
妹妹 问 什么时候|妹妹 明天 问
老师 怎么 衣服|老师 可以 衣服
哪个 喝 电影|父母 喝 电影
哪个 看 饭菜|工人 看 饭菜
姐姐 送 什么|姐姐 送 书籍
谁 用 城市|爷爷 用 城市
医生 用 电脑 吗|医生 用 电脑
哪个 看 知识|同学 看 知识
孩子 看 什么时候|孩子 明天 看
弟弟 帮 什么|弟弟 帮 蛋糕
哪个 送 书包|警察 送 书包
父母 看 什么时候|父母 明天 看
警察 听 什么时候|警察 明天 听
朋友 怎么 知识|朋友 可以 知识
学生 拿 什么时候|学生 明天 拿
医生 怎么 手机|医生 可以 手机
奶奶 读 什么时候|奶奶 明天 读
父母 去 哪里|父母 去 音乐
妹妹 怎么 书包|妹妹 可以 书包
农民 做 什么时候|农民 明天 做
学生 吃 什么|学生 吃 米饭
妹妹 去 哪里|妹妹 去 饭菜
爷爷 做 书籍 吗|爷爷 做 书籍
谁 用 书籍|工人 用 书籍
哪个 找 衣服|工人 找 衣服
爷爷 去 哪里|爷爷 去 书籍
工人 去 哪里|工人 去 电影
姐姐 去 哪里|姐姐 去 作业
哪个 教 城市|奶奶 教 城市
哪个 问 知识|孩子 问 知识
医生 看 什么时候|医生 明天 看
农民 喝 什么|农民 喝 咖啡
父母 去 哪里|父母 去 衣服
同学 找 什么时候|同学 明天 找
哪个 做 蛋糕|爷爷 做 蛋糕
朋友 问 什么|朋友 问 病人
哪个 用 音乐|老师 用 音乐
老师 看 什么时候|老师 明天 看
医生 写 什么时候|医生 明天 写
朋友 帮 什么|朋友 帮 咖啡
农民 玩 什么时候|农民 明天 玩
妹妹 学 城市 吗|妹妹 不 城市
妹妹 送 什么|妹妹 送 衣服
爷爷 写 城市 吗|爷爷 写 城市
谁 拿 城市|弟弟 拿 城市
同学 学 什么时候|同学 明天 学
妹妹 去 哪里|妹妹 去 书籍
朋友 看 蛋糕 吗|朋友 不 蛋糕
学生 用 什么|学生 用 作业
朋友 买 什么|朋友 买 衣服
奶奶 学 饭菜 吗|奶奶 不 饭菜
谁 读 作业|警察 读 作业
父母 听 电脑 吗|父母 听 电脑
奶奶 喝 电影 吗|奶奶 喝 电影
同学 怎么 知识|同学 可以 知识
哪个 写 咖啡|学生 写 咖啡
学生 去 哪里|学生 去 病人
医生 去 哪里|医生 去 音乐
工人 问 知识 吗|工人 问 知识
妹妹 做 什么|妹妹 做 手机
同学 怎么 音乐|同学 可以 音乐
弟弟 怎么 电脑|弟弟 可以 电脑
哥哥 看 作业 吗|哥哥 不 作业
工人 看 电影 吗|工人 不 电影
农民 怎么 病人|农民 可以 病人
姐姐 找 什么时候|姐姐 明天 找
孩子 做 作业 吗|孩子 不 作业
工人 怎么 书籍|工人 可以 书籍
工人 用 什么|工人 用 米饭
孩子 怎么 手机|孩子 可以 手机
父母 做 什么时候|父母 明天 做
学生 怎么 衣服|学生 可以 衣服
学生 怎么 手机|学生 可以 手机
父母 去 哪里|父母 去 蛋糕
老师 吃 病人 吗|老师 吃 病人
学生 去 哪里|学生 去 米饭
农民 写 电脑 吗|农民 写 电脑
哪个 送 电影|学生 送 电影
工人 送 什么时候|工人 明天 送
朋友 去 哪里|朋友 去 面条
老师 买 手机 吗|老师 买 手机
朋友 帮 面条 吗|朋友 帮 面条
弟弟 写 什么|弟弟 写 咖啡
同学 听 什么时候|同学 明天 听
朋友 怎么 作业|朋友 可以 作业
弟弟 拿 什么时候|弟弟 明天 拿
父母 送 什么|父母 送 饭菜
哪个 吃 书籍|老师 吃 书籍
父母 去 哪里|父母 去 城市
姐姐 拿 衣服 吗|姐姐 拿 衣服
弟弟 学 什么|弟弟 学 书籍
谁 教 电影|妹妹 教 电影
哪个 看 手机|妹妹 看 手机
哪个 找 电脑|工人 找 电脑
哥哥 读 电脑 吗|哥哥 读 电脑
同学 去 哪里|同学 去 饭菜
